Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.53,-.66,-.41,-.72,-.47,-.39,-1.06,-.85,-.56,-.42,-.56,-.36,-.14,*****
1881,-.53,-.52,-.58,-.53,-.48,-.62,-.94,-.74,-.26,-.44,-.50,-.56,-.50,*****
1882,-.44,-.50,-.45,-.55,-.32,-.49,-1.40,-.50,-.37,-.27,-.37,-.43,-.36,*****
1883,-.50,-.68,-.40,-.74,-.40,-.46,-.24,-1.04,-.62,-.42,-.26,-.50,.03,*****
1884,-.76,-.89,-.69,-.95,-.66,-.72,-1.24,-1.07,-.79,-.63,-.66,-.61,-.89,*****
1885,-.62,-.70,-.65,-.78,-.39,-.69,-1.29,-.84,-.59,-.29,-.58,-.61,-.67,*****
1886,-.72,-.67,-.77,-.73,-.59,-.70,-1.19,-.68,-.63,-.44,-1.04,-.62,-.72,*****
1887,-.75,-.71,-.78,-.74,-.69,-.73,-1.55,-.86,-.43,-.57,-.97,-.71,-.47,*****
1888,-.52,-.69,-.46,-.77,-.35,-.52,-1.47,-.94,-.43,-.34,-.34,-.28,-.91,*****
1889,-.32,-.38,-.37,-.44,-.05,-.60,-.64,-.48,-.35,-.10,.05,-.52,-.59,*****
1890,-.65,-.56,-.76,-.58,-.67,-.63,-1.04,-.76,-.30,-.46,-.95,-.68,-.27,*****
1891,-.65,-.54,-.83,-.60,-.64,-.61,-1.22,-.52,-.49,-.28,-1.16,-.55,-.52,*****
1892,-.58,-.58,-.63,-.64,-.47,-.64,-1.36,-.75,-.34,-.35,-.61,-.67,-.33,*****
1893,-.62,-.61,-.68,-.62,-.68,-.54,-.91,-.65,-.49,-.56,-.81,-.70,.13,*****
1894,-.49,-.48,-.57,-.50,-.55,-.40,-1.12,-.52,-.26,-.38,-.74,-.50,.09,*****
1895,-.41,-.45,-.43,-.51,-.36,-.36,-.83,-.61,-.31,-.24,-.49,-.39,-.08,*****
1896,-.36,-.42,-.42,-.54,-.32,-.22,-1.10,-.70,-.21,-.05,-.62,-.20,-.07,*****
1897,-.28,-.26,-.35,-.36,-.08,-.46,-.67,-.38,-.24,.05,-.23,-.34,-.54,*****
1898,-.44,-.33,-.59,-.38,-.36,-.59,-1.17,-.31,-.16,-.16,-.58,-.50,-.62,*****
1899,-.36,-.19,-.61,-.26,-.35,-.47,-1.10,-.19,-.01,.02,-.75,-.38,-.49,*****
1900,-.21,-.14,-.31,-.18,-.09,-.41,-.62,-.16,-.03,.02,-.19,-.29,-.51,*****
1901,-.20,-.12,-.32,-.12,-.22,-.26,-.47,.04,-.14,-.08,-.37,-.27,-.01,*****
1902,-.41,-.44,-.45,-.59,-.14,-.58,-1.65,-.66,-.14,.01,-.30,-.43,-.75,*****
1903,-.47,-.37,-.60,-.43,-.35,-.68,-.49,-.38,-.45,-.19,-.52,-.65,-.52,-1.33
1904,-.58,-.45,-.74,-.44,-.66,-.62,-.34,-.48,-.45,-.46,-.87,-.55,-.50,-1.70
1905,-.40,-.31,-.49,-.36,-.28,-.58,-.17,-.23,-.54,-.18,-.38,-.56,-.43,-.88
1906,-.29,-.18,-.41,-.21,-.24,-.44,-.36,-.06,-.28,-.13,-.36,-.37,-.39,-.93
1907,-.58,-.57,-.64,-.68,-.50,-.59,-.71,-.89,-.49,-.33,-.68,-.60,-.33,-1.27
1908,-.44,-.37,-.56,-.40,-.46,-.45,-.41,-.47,-.34,-.28,-.67,-.64,.07,.71
1909,-.46,-.39,-.57,-.46,-.38,-.56,-.78,-.53,-.29,-.21,-.57,-.65,-.15,-.79
1910,-.39,-.34,-.47,-.34,-.45,-.36,-.69,-.20,-.32,-.35,-.57,-.43,-.08,.32
